department_id;municipality_id;name;position
Alta Verapaz;Cahabón;PROFESORA ANA MARIA REYES;Alcalde
Alta Verapaz;Cobán;ING. FABRICIO HIDALGO;Alcalde
Alta Verapaz;Lanquín;GILMA DOMINGA ASIG POP;Alcalde
Alta Verapaz;Panzós;PROF. JOSE ALFREDO MUCU;Alcalde
Alta Verapaz;San Cristóbal Verapaz;JUAN AUGUSTO CAL CAL;Alcalde
Alta Verapaz;Santa Catalina La Tinta;OSCAR GARCIA CHAMAN ex. Alc.;Alcalde
Alta Verapaz;Senahú;ARIEL CAAL;Alcalde
Alta Verapaz;Tamahú;HUGO GUZMAN;Alcalde
Alta Verapaz;Tucurú;HENRY ARTOLA;Alcalde
Baja Verapaz;El Chol;ANIBAL SARMIENTO;Alcalde
Baja Verapaz;Granados;FRANS CARDONA;Alcalde
Baja Verapaz;Rabinal;MANUEL APARICIO JERONIMO;Alcalde
Baja Verapaz;San Jerónimo;TIN CUELLAR-CARLOS E. SOLIS CONSEJ;Alcalde
Baja Verapaz;San Miguel Chicaj;EDGAR ADAN IXTECOC    ALC. ACT;Alcalde
Chimaltenango;Chimaltenango;AXEL SIMAJ ALC. ACT.;Alcalde
Chimaltenango;Comalapa;JUSTO RUFINO SIMILOX ALC.ACT. ;Alcalde
Chimaltenango;Pochuta;ALC. ACT.;Alcalde
Chimaltenango;Santa Apolonia;ALC. ACT.;Alcalde
Chimaltenango;Tecpán Guatemala;LOLO-CANDIDA CORADO;Alcalde
Chimaltenango;Yepocapa;ALC. ACT.;Alcalde
El Progreso;El Jícaro;MELVIN MAURICIO CARRANZA M.;Alcalde
El Progreso;Guastatoya;ARNOLDO SOTO CARANZA;Alcalde
El Progreso;Morazán;JOSE MANUEL BETANCURTH;Alcalde
El Progreso;San Agustín Acasaguastlán;MYNOR PERFECTO SANTOS;Alcalde
El Progreso;San Antonio La Paz;MYNOR MONZON;Alcalde
El Progreso;San Cristóbal Acasaguastlán;GIDO GODINEZ;Alcalde
El Progreso;Sansare;CARLOS AUGUSTO RODRIGUEZ RUANO;Alcalde
Escuintla;Guanagazapa;ASBIDIO TECUN FLORIAN;Alcalde
Escuintla;Palín;MARIO VITELIO YANTUCHI   ALC. ACT. ;Alcalde
Escuintla;San Vicente Pacaya;CARLOS GONZALEZ;Alcalde
Escuintla;Santa Lucía Cotzumalguapa;ROLANDO GUZMAN  ALC. ACT.;Alcalde
Guatemala;Santa Catarina Pinula;SEBASTIAN SIERRO;Alcalde
Guatemala;Villa Nueva;ESAU BURGOS;Alcalde
Huehuetenango;Aguacatán;PATRICIO MENDEZ;Alcalde
Huehuetenango;Santa Cruz Barillas;ALEJANDRO RUIZ CALDERON;Alcalde
Huehuetenango;Chiantla;FRANCISCO ROMAN JACINTO;Alcalde
Huehuetenango;Colotenango;LUIS VELASQUEZ;Alcalde
Huehuetenango;Concepción Huista;RAMON VARGAS;Alcalde
Huehuetenango;Cuilco;ORLANDO GALVEZ;Alcalde
Huehuetenango;Huehuetenango;RODERICO MARTINEZ;Alcalde
Huehuetenango;Ixtahuacán;DIEGO VELASQUEZ;Alcalde
Huehuetenango;Jacaltenango;CLAUDIO CAMPOSECO;Alcalde
Huehuetenango;La Democracia;FRANCISCO ISAI HIDALGO ARGUETA;Alcalde
Huehuetenango;La Libertad;LUCIO MORALES;Alcalde
Huehuetenango;Malacatancito;LEOPOLDO SAMAYOA RAMOS;Alcalde
Huehuetenango;Nentón;YEFRY DIAZ;Alcalde
Huehuetenango;San Antonio Huista;LUIS RICARDO GARCIA COTA;Alcalde
Huehuetenango;San Juan Ixcoy;JUAN GARCIA;Alcalde
Huehuetenango;San Mateo Ixtatán;FILIMON CARRILLO;Alcalde
Huehuetenango;San Miguel Acatán;BARTOLO MATIAS;Alcalde
Huehuetenango;San Pedro Necta;CARLOS GONZALES SANCHEZ;Alcalde
Huehuetenango;San Sebastián Coatán;JOSE MENDOZA;Alcalde
Huehuetenango;Santa Ana Huista;DIMAS MORALES;Alcalde
Huehuetenango;Santa Bárbara;ALFREDO SALES;Alcalde
Huehuetenango;Santa Eulalia;DIEGO MARCOS;Alcalde
Huehuetenango;Santiago Chimaltenango;MACARIO JIMENEZ;Alcalde
Huehuetenango;Todos Santos Cuchumatán;CRUZ JERONIMO RAMIREZ;Alcalde
Izabal;EL Estor;HUGO WOLER;Alcalde
Jalapa;Jalapa;NORMA HAYDE CRUZ RUEDAS;Alcalde
Jalapa;San Carlos Alzatate;SANTOS ARTURO NAJERA LIMA;Alcalde
Jutiapa;Jerez;MISAEL ASENCIO LOPEZ;Alcalde
Jutiapa;Quesada;OSCAR RONOBEL LOAYSA LOPEZ;Alcalde
Petén;Dolores;VITALINO DUARTE;Alcalde
Petén;El Chal;MARCOS FABIAN;Alcalde
Petén;Flores;ALEXIA DE MARIN;Alcalde
